Timestamp,ROV.RovDepth,ROV.RovXVel,ROV.RovYVel,ROV.RovZVel,CTD.Temperature,CTD.Salinity,CTD.Pressure,CTD.Depth,JCUSBL.Date,JCUSBL.Time,JCUSBL.Lat,JCUSBL.LatN,JCUSBL.Lon,JCUSBL.LonW,
,,,,,,,,,,,,,,,
14.12.2011 04:30:31,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:32,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:33,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:34,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:35,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:36,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:37,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,s
,,,,,,,,,,,,,,,
14.12.2011 04:30:38,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:39,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:40,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:41,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:42,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:43,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:44,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:45,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:46,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:47,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:48,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:49,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:50,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:51,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:52,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:53,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:54,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:55,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:56,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:57,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:58,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:30:59,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:00,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:01,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:02,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:03,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:04,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:05,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:06,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:07,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:08,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:09,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:10,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:11,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:12,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:13,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:14,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:15,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:16,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:17,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:18,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:19,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:20,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:21,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:22,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:23,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:24,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:25,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:26,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:27,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:28,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:29,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:30,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:31,0,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:32,0.5,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:33,0.2,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
,,,,,,,,,,,,,,,
14.12.2011 04:31:34,0.4,0,0,0,19.661,35.182,0.56,0.55,13.12.2011,15:27:20,3242.53822,S,5716.98292,E,
